Timestamp;dealdata
33660000;55
33686000;87
33712000;-77
33738000;28
33764000;13
33790000;15
33816000;-1
33842000;70
33868000;-34
33894000;-20
33920000;-50
33946000;71
33972000;20
33997000;-9
34023000;5
34049000;59
34075000;-25
34101000;-11
34127000;-41
34153000;55
34179000;-43
34205000;47
34231000;27
34257000;55
34284000;-49
34310000;-13
34337000;21
34363000;55
34388000;-25
34414000;-34
34440000;-35
34466000;55
34492000;-25
34518000;-41
34544000;55
34570000;-1
34596000;-9
34622000;-17
34648000;77
34674000;13
34700000;55
34726000;43
34752000;-13
34778000;-1
34805000;-3
34830000;-73
34856000;7
34882000;-13
34908000;-9
34934000;-52
34959000;-13
34986000;19
35012000;-95
35038000;-28
35064000;-12
35090000;-68
35115000;5
35141000;54
35167000;15
35193000;-61
35219000;29
35245000;27
35271000;-57
35296000;43
35322000;61
35348000;7
35374000;63
35400000;67
35426000;-9
35452000;-14
35477000;-74
35503000;71
35528000;-73
35554000;51
35579000;-17
35605000;-77
35631000;-18
35657000;37
35683000;-9
35709000;27
35735000;3
35761000;-3
35787000;69
35813000;55
35839000;-25
35865000;37
35891000;-31
35917000;28
35942000;-33
35968000;14
35994000;5
36021000;-13
36047000;20
36073000;-2
36099000;-57
36125000;-17
36151000;87
36177000;-9
36203000;-9
36229000;-101
36255000;-121
36280000;-13
36306000;71
36332000;-29
36358000;23
36384000;34
36410000;27
36436000;111
36462000;-30
36488000;-35
36514000;63
36540000;-41
36566000;-49
36592000;22
36618000;-43
36643000;-126
36668000;-1
36694000;71
36720000;65
36746000;-105
36772000;-35
36798000;12
36824000;11
36850000;-9
36876000;78
36902000;-13
36928000;47
36954000;-35
36980000;-3
37006000;-59
37031000;7
37058000;-57
37084000;-9
37110000;53
37136000;50
37162000;-31
37188000;-3
37214000;35
37240000;-33
37266000;-31
37292000;39
37318000;53
37344000;-9
37370000;55
37395000;55
37421000;69
37447000;43
37473000;-28
37499000;-61
37525000;7
37551000;-101
37577000;37
37603000;11
37629000;31
37655000;-21
37681000;-42
37706000;19
37732000;3
37758000;-27
37783000;-32
37809000;46
37835000;-29
37861000;-140
37887000;-3
37913000;-27
37939000;29
37965000;-34
37991000;-52
38017000;39
38043000;-19
38069000;-1
38096000;-77
38122000;45
38147000;49
38173000;-11
38199000;-14
38224000;-25
38250000;-89
38276000;20
38302000;-33
38328000;23
38354000;61
38380000;-17
38406000;7
38432000;-53
38458000;39
38484000;-129
38509000;-33
38535000;35
38560000;-75
38586000;-75
38612000;3
38638000;-27
38664000;-33
38690000;-10
38716000;-1
38742000;-14
38768000;-10
38794000;-45
38820000;-31
38846000;-33
38872000;-15
38897000;37
38923000;39
38949000;-43
38975000;50
39001000;15
39027000;59
39053000;-1
39079000;-51
39105000;23
39132000;-20
39158000;-59
39184000;-17
39209000;-35
39235000;-73
39260000;-9
39286000;31
39312000;-41
39338000;43
39364000;13
39390000;-57
39416000;-41
39442000;6
39468000;5
39494000;-33
39520000;23
39546000;3
39571000;-34
39597000;-83
39623000;29
39649000;-36
39674000;3
39700000;11
39725000;-25
39751000;7
39777000;-3
39803000;-17
39829000;-65
39855000;71
39881000;23
39907000;-5
39933000;-17
39958000;-9
39984000;39
40009000;-17
40034000;-5
40060000;1
40085000;23
40111000;23
40137000;68
40164000;-29
40190000;31
40216000;84
40242000;60
40268000;15
40294000;-45
40320000;-49
40346000;-25
40372000;-35
40397000;-57
40423000;-89
40449000;-4
40475000;-58
40501000;15
40527000;-2
40553000;-25
40579000;-19
40605000;23
40631000;-1
40657000;-73
40683000;-107
40709000;-125
40735000;-9
40760000;13
40786000;1
40812000;-49
40837000;-3
40863000;51
40889000;42
40915000;-25
40941000;-81
40967000;-61
40993000;-81
41019000;-83
41045000;-83
41071000;45
41097000;7
41123000;46
41148000;-49
41174000;-25
41201000;23
41227000;23
41253000;-35
41279000;-29
